Year,FED Id,FED Name,Winning Pid,Population,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2004,35064,Ottawa South,LIB,118808,59591,59230,25956,20622,8080,0,3398,1174
2004,35065,Ottawa--Vanier,LIB,105870,53197,52779,25952,12769,9787,0,3628,643
2004,35066,Ottawa West--Nepean,LIB,112509,57639,57378,23971,22591,7449,0,2748,619
2004,35067,Oxford,CPC,99270,46114,45903,14011,20606,6673,0,1951,2662
2004,35068,Parkdale--High Park,LIB,106559,47162,46912,19727,7221,16201,0,3249,514
2004,35069,Parry Sound--Muskoka,LIB,84789,44062,43936,19271,15970,5171,0,3524,0
2004,35070,Perth--Wellington,CPC,102447,45176,44981,15032,18879,7027,0,2770,1273
2004,35071,Peterborough,LIB,110887,57823,57631,25099,18393,10957,0,3182,0
2004,35072,Pickering--Scarborough East,LIB,106722,48106,47930,27312,13417,5392,0,1809,0
2004,35073,Prince Edward--Hastings,CPC,109407,53543,53343,20042,22598,8105,0,2130,468
2004,35074,Renfrew--Nipissing--Pembroke,CPC,96416,50130,49917,14798,27494,5720,0,1191,714
2004,35075,Richmond Hill,LIB,109394,46539,46345,27102,11530,4495,0,2144,1074
2004,35076,St. Catharines,LIB,111452,52856,52616,21277,18261,10135,0,1927,1016
2004,35077,St. Paul's,LIB,112449,55311,55095,32171,11226,8667,0,3031,0
2004,35078,Sarnia--Lambton,LIB,104556,47830,47541,19932,14500,7764,0,2548,2797
2004,35079,Sault Ste. Marie,NDP,88419,43372,43122,15760,9969,16512,0,814,67
2004,35080,Scarborough--Agincourt,LIB,110669,41422,41198,26400,8649,4182,0,919,1048
2004,35081,Scarborough Centre,LIB,102922,36802,36608,20740,8515,6156,0,1045,152
2004,35082,Scarborough--Guildwood,LIB,112628,36644,36418,20950,8277,5885,0,1106,200
2004,35083,Scarborough--Rouge River,LIB,115437,39202,38955,22564,5184,3635,0,610,6962
2004,35084,Scarborough Southwest,LIB,105237,38178,37963,18776,9028,8471,0,1520,168
2004,35085,Simcoe--Grey,CPC,117505,55625,55377,22396,22496,5532,0,2668,2285
2004,35086,Simcoe North,LIB,111057,54808,54571,23664,20570,6162,0,3486,689
2004,35087,Stormont--Dundas--South Glengarry,CPC,98933,48612,48335,17779,21678,5387,0,3491,0
2004,35088,Sudbury,LIB,89443,43037,42802,18914,9008,12781,0,1999,100
2004,35089,Thornhill,LIB,116840,52870,52601,28709,18125,3671,0,1622,474
2004,35090,Thunder Bay--Rainy River,LIB,85775,36462,36300,14290,9559,10781,0,856,814
2004,35091,Thunder Bay--Superior North,LIB,83657,35134,34905,15022,7394,10230,0,1614,645
2004,35092,Timmins--James Bay,NDP,84001,34306,34112,13525,5682,14138,0,767,0
2004,35093,Toronto Centre,LIB,114581,53905,53663,30336,7936,12747,0,2097,547
2004,35094,Toronto--Danforth,NDP,109713,48169,47900,19803,2975,22198,0,2575,349
2004,35095,Trinity--Spadina,LIB,106094,53605,53276,23202,4605,22397,0,2259,813
2004,35096,Vaughan,LIB,112049,50480,49924,31430,11821,4371,0,1722,580
