Year,FED Id,FED Name,Winning Pid,Population,Electors,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2019,35012,Brampton West,LIB,130000,88166,54418,53683,28743,12824,9855,0,1271,990
2019,35013,Brantford--Brant,CPC,130296,108602,67163,66666,20454,26849,13131,0,4257,1975
2019,35014,Bruce--Grey--Owen Sound,CPC,107679,89386,58464,58161,17485,26830,6797,0,5114,1935
2019,35015,Burlington,LIB,123180,100201,72585,71985,34989,23930,7372,0,4750,944
2019,35016,Cambridge,LIB,115463,90291,58327,57942,22903,17409,11177,0,4343,2110
2019,35088,Carleton,CPC,102918,88701,69767,69359,26518,32147,6479,0,3423,792
2019,35017,Chatham-Kent--Leamington,CPC,109619,86586,54538,54088,16899,25359,8229,0,2233,1368
2019,35018,Davenport,LIB,108473,82047,53597,53180,23251,4921,21812,0,2397,799
2019,35019,Don Valley East,LIB,94579,66530,42732,42294,25295,10115,4647,0,1675,562
2019,35020,Don Valley North,LIB,110076,76151,46885,46571,23495,16506,4285,0,1803,482
2019,35021,Don Valley West,LIB,102508,74003,52656,52234,29148,16304,3804,0,2257,721
2019,35022,Dufferin--Caledon,CPC,128237,106348,69063,68616,22645,28852,7981,0,7303,1835
2019,35023,Durham,CPC,130872,108096,73494,73014,23547,30752,13323,0,3950,1442
2019,35024,Eglinton--Lawrence,LIB,114395,83559,56398,56004,29850,18549,4741,0,2278,586
2019,35025,Elgin--Middlesex--London,CPC,115052,94026,62229,61754,14324,31026,11019,0,3562,1823
2019,35026,Essex,CPC,125442,102796,68738,68288,12987,28274,23603,0,2173,1251
2019,35027,Etobicoke Centre,LIB,118022,92638,63843,63219,32800,21804,4881,0,2775,959
2019,35029,Etobicoke North,LIB,118040,75415,43511,42946,26388,9524,4654,0,1080,1300
2019,35028,Etobicoke--Lakeshore,LIB,129081,104246,70040,69515,36061,19952,8277,0,4141,1084
2019,35030,Flamborough--Glanbrook,CPC,111065,89823,62920,62539,22875,24527,10322,0,3833,982
2019,35031,Glengarry--Prescott--Russell,LIB,109975,92555,66436,65791,31293,23660,6851,0,2113,1874
2019,35032,Guelph,LIB,131794,107425,76020,75568,30497,14568,9297,0,19236,1970
2019,35033,Haldimand--Norfolk,CPC,109652,91557,60362,59926,14704,28018,9192,0,4878,3134
2019,35034,Haliburton--Kawartha Lakes--Brock,CPC,113956,99274,66173,65760,17067,32257,9676,0,5515,1245
2019,35035,Hamilton Centre,NDP,100103,75371,44527,44122,12651,6341,20368,0,3370,1392
2019,35036,Hamilton East--Stoney Creek,LIB,107848,85252,52679,52146,20112,13130,14930,0,2902,1072
2019,35037,Hamilton Mountain,NDP,104877,81698,53438,52949,16057,13443,19135,0,3115,1199
2019,35038,Hamilton West--Ancaster--Dundas,LIB,113024,89679,65316,64901,30214,17340,11527,0,4770,1050
2019,35039,Hastings--Lennox and Addington,CPC,94333,80434,53446,53094,19721,21968,6984,0,3114,1307
2019,35121,Humber River--Black Creek,LIB,108037,69524,38461,37958,23187,6164,7198,0,804,605
2019,35040,Huron--Bruce,CPC,106570,86416,61265,60867,20167,29512,7421,0,2665,1102
2019,35041,Kanata--Carleton,LIB,110960,87281,67210,66772,28746,24361,8317,0,4387,961
2019,35042,Kenora,CPC,62556,46766,28060,27787,8335,9445,7923,0,1526,558
2019,35043,King--Vaughan,LIB,131995,100174,64446,63848,28725,27584,4297,0,2511,731
2019,35044,Kingston and the Islands,LIB,117543,98921,68677,68193,31205,13304,15856,0,6059,1769
2019,35045,Kitchener Centre,LIB,105258,83884,55839,55374,20316,13191,6238,0,14394,1235
2019,35047,Kitchener South--Hespeler,LIB,105309,80150,52628,52233,20986,17480,6945,0,5671,1151
2019,35046,Kitchener--Conestoga,LIB,100709,74975,51896,51535,20480,20115,5204,0,4946,790
2019,35048,Lambton--Kent--Middlesex,CPC,105331,88838,58846,58412,14814,28651,9355,0,3463,2129
2019,35049,Lanark--Frontenac--Kingston,CPC,101630,87395,62915,62481,15441,30077,8835,0,7011,1117
2019,35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,CPC,100546,84999,58932,58453,15482,28630,8201,0,5152,988
2019,35052,London North Centre,LIB,125362,98039,64234,63741,27247,15066,14887,0,4872,1669
2019,35053,London West,LIB,126110,100387,71769,71273,30622,19910,15220,0,3827,1694
2019,35051,London--Fanshawe,NDP,119467,93944,56093,55575,14924,13770,22671,0,2781,1429
2019,35054,Markham--Stouffville,LIB,126064,95461,65011,64388,25055,19703,4132,0,1621,13877
2019,35055,Markham--Thornhill,LIB,99078,72499,44779,44331,23899,15319,3233,0,1247,633
2019,35056,Markham--Unionville,CPC,123318,88882,53919,53396,20484,26133,3524,0,2394,861
2019,35057,Milton,LIB,114093,85353,60058,59679,30882,21564,3851,0,2769,613
2019,35058,Mississauga Centre,LIB,124849,87888,54231,53756,29974,15874,5173,0,1646,1089
2019,35059,Mississauga East--Cooksville,LIB,120205,86191,53106,52623,27923,17664,4643,0,1578,815
2019,35060,Mississauga--Erin Mills,LIB,122560,88722,58899,58262,31181,19050,5236,0,2147,648
2019,35061,Mississauga--Lakeshore,LIB,117444,90419,61406,60999,29526,22740,5103,0,2814,816
2019,35062,Mississauga--Malton,LIB,118240,79810,49037,48537,27890,12528,6103,0,1251,765
2019,35063,Mississauga--Streetsville,LIB,118301,87961,59202,58765,29618,19474,6036,0,2688,949
2019,35064,Nepean,LIB,119110,93734,69990,69583,31933,23320,9104,0,4379,847
2019,35065,Newmarket--Aurora,LIB,117418,91880,61884,61460,26488,23252,6576,0,3551,1593
2019,35066,Niagara Centre,LIB,109067,90968,58502,57963,20292,17987,15469,0,3054,1161
2019,35067,Niagara Falls,CPC,136292,113232,70370,69734,22690,24751,12566,0,3404,6323
2019,35068,Niagara West,CPC,90838,74983,54176,53924,17429,24447,6540,0,3620,1888
2019,35069,Nickel Belt,LIB,93772,76585,49146,48848,19046,10343,15656,0,2644,1159
2019,35070,Nipissing--Timiskaming,LIB,88813,75052,48134,47727,19352,12984,9784,0,3111,2496
2019,35071,Northumberland--Peterborough South,CPC,112412,97186,69445,68961,24977,27385,9615,0,5524,1460
2019,35072,Oakville,LIB,120923,90334,65888,65401,30265,25561,4928,0,3704,943
2019,35073,Oakville North--Burlington,LIB,129078,97696,70035,69623,33597,26484,5866,0,2925,751
2019,35076,Orléans,LIB,128281,106321,81995,81410,44183,22984,9428,0,3829,986
2019,35074,Oshawa,CPC,126764,101988,62397,61983,15750,24087,17668,0,3151,1327
2019,35075,Ottawa Centre,LIB,118038,101219,79384,78902,38391,9920,22916,0,5837,1838
2019,35077,Ottawa South,LIB,121058,92759,65950,65376,34205,16025,10457,0,3645,1044
2019,35079,Ottawa West--Nepean,LIB,111837,87394,62808,62206,28378,16876,11646,0,3894,1412
2019,35078,Ottawa--Vanier,LIB,111508,92837,64580,63881,32679,11118,13516,0,4796,1772
2019,35080,Oxford,CPC,113790,93166,61419,60891,11745,29310,12306,0,4770,2760
2019,35081,Parkdale--High Park,LIB,108805,84479,61269,60887,28852,8015,19180,0,3916,924
2019,35082,Parry Sound--Muskoka,CPC,94398,83362,55055,54663,16615,22845,6417,0,8409,377
2019,35083,Perth--Wellington,CPC,107908,83501,55675,55294,15002,25622,8094,0,4949,1627
2019,35084,Peterborough--Kawartha,LIB,118176,100351,70249,69801,27400,24357,11872,0,4930,1242
2019,35085,Pickering--Uxbridge,LIB,112947,92933,63902,63495,32387,18462,7582,0,3799,1265
2019,35086,Renfrew--Nipissing--Pembroke,CPC,103495,86387,59428,58957,11532,31080,8786,0,3230,4329
2019,35087,Richmond Hill,LIB,110177,85075,50733,50149,21804,21592,4425,0,1695,633
2019,35089,St. Catharines,LIB,111691,91215,60619,60113,24183,18978,12431,0,3695,826
2019,35091,Sarnia--Lambton,CPC,105337,85266,58316,57916,12041,28623,12644,0,2490,2118
2019,35092,Sault Ste. Marie,LIB,80371,66668,42037,41700,16284,13407,9459,0,1809,741
2019,35094,Scarborough Centre,LIB,112603,76698,47194,46556,25695,10387,5452,0,1336,3686
2019,35096,Scarborough North,LIB,98800,66759,39422,39037,20911,11838,5039,0,796,453
2019,35098,Scarborough Southwest,LIB,110278,79291,51084,50635,28965,10502,7865,0,2477,826
2019,35093,Scarborough--Agincourt,LIB,105542,71907,42290,41814,21115,15492,3636,0,1050,521
2019,35095,Scarborough--Guildwood,LIB,102386,68886,43322,42742,26123,9553,4806,0,1220,1040
2019,35097,Scarborough--Rouge Park,LIB,102275,77449,50748,50426,31360,10115,5801,0,2330,820
2019,35100,Simcoe North,CPC,111332,97613,63136,62778,19310,27241,8850,0,5882,1495
2019,35099,Simcoe--Grey,CPC,129944,115604,76001,75509,23925,32812,8462,0,8589,1721
2019,35101,Spadina--Fort York,LIB,115506,93251,60989,60650,33822,10680,12188,0,3174,786
2019,35102,Stormont--Dundas--South Glengarry,CPC,103320,84983,54244,53711,13767,28976,7674,0,2126,1168
2019,35103,Sudbury,LIB,91532,75035,48294,47977,19643,9864,13885,0,3225,1360
2019,35104,Thornhill,CPC,112719,85005,54079,53496,18946,29187,3469,0,1600,294
2019,35105,Thunder Bay--Rainy River,LIB,82805,66306,41384,41051,14498,12039,11944,0,1829,741
2019,35106,Thunder Bay--Superior North,LIB,82651,66579,43593,43177,18502,11036,9126,0,3639,874
2019,35107,Timmins--James Bay,NDP,83257,63903,37109,36740,9443,9907,14885,0,1257,1248
2019,35108,Toronto Centre,LIB,103805,83076,54896,54512,31271,6613,12142,0,3852,634
2019,35109,Toronto--Danforth,LIB,106875,82703,58472,58059,27681,6091,19283,0,3761,1243
2019,35090,Toronto--St. Paul's,LIB,107900,85544,60218,59834,32494,12933,9442,0,4042,923
2019,35110,University--Rosedale,LIB,104311,83485,57672,57391,29652,9342,12573,0,4861,963
2019,35111,Vaughan--Woodbridge,LIB,105228,80593,50808,50328,25810,18289,3910,0,1302,1017
2019,35112,Waterloo,LIB,110134,88927,64123,63706,31085,15615,9710,0,6184,1112
2019,35113,Wellington--Halton Hills,CPC,120981,99113,70039,69680,19777,33044,6499,0,8851,1509
2019,35114,Whitby,LIB,128377,98572,69516,69101,30182,24564,9760,0,3735,860
2019,35115,Willowdale,LIB,118801,79367,45880,45470,22282,16452,4231,0,1671,834
2019,35117,Windsor West,NDP,122988,94944,52522,51962,18878,9925,20800,0,1325,1034
2019,35116,Windsor--Tecumseh,LIB,117429,95668,57496,56957,19046,15851,18417,0,2177,1466
2019,35118,York Centre,LIB,104319,71100,43851,43186,21680,15852,4251,0,1403,0
2019,35120,York South--Weston,LIB,116686,79364,45038,44463,25976,8415,7754,0,1633,685
2019,35119,York--Simcoe,CPC,104010,89556,54278,53781,14407,24918,7620,0,4650,2186
2019,46001,Brandon--Souris,CPC,88170,63401,41430,41206,4972,26148,5805,0,2984,1297
2019,46002,Charleswood--St. James--Assiniboia--Headingley,CPC,82574,65949,46484,46228,16398,18815,6556,0,2178,2281
2019,46003,Churchill--Keewatinook Aski,NDP,87027,51482,23877,23687,5616,4714,11919,0,1144,294
2019,46004,Dauphin--Swan River--Neepawa,CPC,87527,63250,40845,40566,5344,26103,5724,0,2214,1181
2019,46005,Elmwood--Transcona,NDP,92738,70062,43677,43364,5346,16240,19786,0,1480,512
2019,46006,Kildonan--St. Paul,CPC,84077,66290,44520,44298,12356,19856,9387,0,1777,922
2019,46007,Portage--Lisgar,CPC,97354,67397,44911,44636,4779,31600,3872,0,2356,2029
