Year,RO Year,FED Id,FED Name,population age 0-4,population age 5-9,population age 10-14 years,population age 15-17,population age 18-19,population age 20-24,population age 25-29,population age 30-34,population age 35-39,population age 40-44,population age 45-49,population age 50-54,population age 55-59,population age 60-64,population age 70-74,population age 75-79,population age 80-84,population age 85+,couple families with 1 child,couple families with 2 children,couple families with 3 or more children,average num of persons per family,private households by household size 1 person,private households by household size 2 persons,private households by household size 3 persons,mother tongue single responses english,mother tongue single responses french,mother tongue multiple responses english and french,knowledge of official languages english only,knowledge of official languages french only,knowledge of official languages english and french,knowledge of official languages neither english nor french,first official language spoken english,first official language spoken french,first official language spoken english and french,first official language spoken neither english nor french,first official language spoken official language minority num,home language spoken single responses english,home language spoken single responses french,population 1 year and over by mobility status 1 year ago movers,populati...over by mobility status 1 year ago migrants 250516AB,populati...obility status 1 year ago internal migrants E5731743,populati... status 1 year ago intraprovincial migrants 9412EDCF,populati...obility status 1 year ago external migrants C5DD2868,canadian citizenship,citizenship other than canadian,population 15+ by generation status 1st generation,population 15+ by generation status 2nd generation,population 15+ by generation status 3rd generation and over,first nations north american indian single identity,métis single identity,inuit single response identity,labour force 15+ by occupation not applicable,labour f...ness finance and administration occupations 2B82C03E,labour f...nd applied sciences and related occupations BF041023,labour force 15+ by occupation health occupations,labour f...pations in art culture recreation and sport E6577C9B,labour force 15+ by occupation sales and service occupations,population aged 15+ by place of work status worked at home,populati... place of work status worked outside canada B2E16A0B,populati...e of work status no fixed workplace address 90CEDF61,populati... place of work status worked at usual place C99B477F,employed...nsportation car truck or van as a passenger 0212B8C0,employed...5+ by mode of transportation public transit B18141EA,employed labour force 15+ by mode of transportation walked,employed labour force 15+ by mode of transportation bicycle,employed...15+ by mode of transportation other methods FC108373
2001,1996,11004,Malpeque ,2025,2450,2700,1630,1010,1910,1815,2280,2970,2945,2650,2595,1895,1500,1020,795,525,410,1735,1965,1195,3.1,2100,4160,2245,32795,830,100,30795,10,3415,30,33460,755,0,30,760,33260,120,2830,1530,1470,880,65,33875,370,1220,1530,24300,130,95,0,100,3045,950,845,510,4250,2150,40,1505,13275,6925,420,25,220,10
2001,1996,12001,Bras d'Or - Cape Breton ,3320,4150,5050,3240,2105,3960,3440,3905,4940,5705,5910,5810,4490,3845,2735,2145,1590,1310,3370,3600,1780,3.0,6170,8795,5000,62045,5875,415,60355,175,9495,40,64075,5815,160,15,5900,63075,2150,6085,2125,2025,1030,95,69440,625,1465,3140,52925,1370,95,20,1090,3960,980,2175,590,8505,1255,75,2515,20470,9765,905,75,645,30
2001,1996,12002,Cumberland - Colchester ,4135,5085,5530,3455,2175,4305,4300,5020,6440,6600,6355,6040,4830,4215,3220,2780,2065,1670,3450,3770,1625,2.8,8360,12130,5425,78490,690,125,76480,15,3975,30,79830,620,35,15,640,79330,50,10105,3965,3915,2685,50,79745,750,2535,4540,58650,1030,190,0,600,5405,1320,1910,610,9980,2760,100,3470,28945,14285,1445,60,1045,105
2001,1996,12003,Dartmouth ,4675,5325,5500,3240,2190,5525,5635,5915,7535,7655,6660,5970,4150,3405,2550,1995,1115,735,3445,3905,1500,2.9,9150,11730,5830,76550,2685,305,73490,45,8625,120,79475,2620,90,100,2660,77460,465,13765,3245,2870,1175,370,81140,1145,5305,6270,55220,690,240,60,765,9405,2805,2290,1300,12940,1985,285,3315,35310,13940,1610,2470,1120,320
2001,1996,12004,Halifax ,3165,3300,3470,2205,2160,10360,8625,6460,6200,5770,5855,5300,3865,3055,2750,2780,2230,2005,2675,2495,1265,2.7,15885,13525,5110,71515,2310,365,68115,35,12695,255,78295,2215,345,245,2390,72510,190,19105,6630,5380,1920,1255,77045,4055,9420,8380,53345,530,130,40,725,8605,3840,3750,2640,12475,2590,360,2820,37295,10240,1105,2195,5330,650
2001,1996,12005,Halifax West ,6755,7165,7450,4050,2555,6100,7485,8895,10425,9840,8385,7495,5480,4040,2625,2050,1335,1025,5320,6185,2220,2.9,8465,14545,7615,97820,2755,175,94285,25,11345,140,102760,2730,190,115,2825,98945,355,16845,4800,4125,1440,670,103195,2595,7795,7360,69220,525,195,30,710,11595,4055,3790,1545,15480,3690,430,5065,45440,21885,1585,1470,725,115
2001,1996,12006,Kings - Hants ,5720,6710,7330,4310,2530,5290,5470,6710,8735,8700,7560,6990,5515,4570,3265,2615,1840,1595,4450,5030,2235,2.9,8040,13805,6690,94265,1655,190,91585,40,6535,145,96560,1575,35,135,1595,95390,270,12455,6595,6385,4685,210,97120,1185,4215,6120,68205,1565,135,85,780,6255,2325,2445,880,13020,3520,170,4690,36095,19000,1805,150,920,225
2001,1996,12007,Pictou - Antigonish - Guysborough ,3855,4560,5410,3640,2250,4685,3935,4445,5530,6150,6070,5935,4515,3540,2815,2365,1885,1655,3300,3700,2060,3.0,7285,9950,4945,72380,1375,95,70715,35,4610,0,74130,1205,20,0,1220,73230,160,7140,2875,2620,1970,255,74680,680,2555,3975,55010,990,80,10,985,4445,1330,2185,630,8865,2185,185,3445,24960,12510,1260,50,750,55
2001,1996,12008,Sackville - Musquodoboit Valley - Eastern Shore ,5350,6585,7275,4115,2405,4580,4705,6330,8705,8375,7175,6760,4845,3180,1795,1240,850,620,4605,5950,2260,3.1,4060,9800,6360,82635,2430,170,78150,80,8445,105,84320,2300,60,95,2325,83400,445,9425,2865,2765,1000,105,86015,760,3250,5285,59010,610,235,40,680,8910,3005,2680,910,13180,2490,435,4570,36400,18415,1550,980,525,95
2001,1996,12009,South Shore ,3285,4240,4875,3035,1820,3610,3810,4585,6015,6455,6025,5990,4805,4075,3135,2605,1940,1660,3725,3640,1185,2.8,7140,11920,5505,73080,640,75,70825,20,3830,10,74035,570,75,0,610,73685,60,6650,2995,2800,2225,205,73860,825,2975,3520,55795,890,210,20,745,4465,1175,1660,795,8290,2930,50,4305,25030,13735,1440,35,905,80
2001,1996,12010,Sydney - Victoria ,3825,4845,5435,3515,2230,4435,3700,4260,5555,6255,6000,5720,4445,3840,2975,2635,1935,1540,3550,3395,1720,2.9,7715,9315,5520,70750,805,90,72345,30,2990,100,74530,785,65,90,810,71415,120,7790,1930,1710,835,220,74870,595,1645,4250,55395,4050,75,30,1300,4065,935,2300,685,9495,1055,105,2415,20975,9165,935,135,785,35
2001,1996,12011,West Nova ,3375,3880,4385,2810,1720,3340,3395,4190,5405,5440,5080,5195,4325,3530,2810,2475,1955,1700,3130,3170,1145,2.8,6825,10495,4760,53140,12805,540,49210,290,17715,15,54365,12740,115,15,12795,53750,5650,7110,2820,2625,1965,190,66335,900,2475,3180,49930,675,1555,20,570,3625,805,1665,530,8055,2520,60,4150,21360,11480,1355,35,685,120
2001,1996,13001,Acadie - Bathurst ,3685,4480,5155,3465,2400,4875,4715,5555,7075,7525,7370,6835,5125,3895,2640,2215,1525,1195,4230,3910,1100,2.8,6495,11125,6795,12255,68440,845,6760,31705,43285,15,12720,68790,245,10,68910,10975,60915,7175,2845,2800,2005,40,81590,170,565,935,66895,425,820,20,1070,4965,1260,2320,520,9670,2015,60,3430,27335,13220,1540,135,745,125
2001,1996,13002,Beauséjour - Petitcodiac ,3875,4805,5600,3405,2170,4575,4520,5370,6795,7130,7050,6805,5040,4070,2775,2435,1640,1435,4320,4165,1575,2.9,6070,11730,6120,41120,37525,750,35300,4390,41695,35,43480,37690,225,25,37800,40515,27470,7700,3980,3865,2870,115,80545,875,2645,3185,61235,2355,675,10,675,6860,1525,1775,520,9750,2845,60,3925,29790,15120,1515,50,735,65
2001,1996,13003,New Brunswick Southwest ,3490,4140,4455,2655,1620,3305,3455,4250,5175,5210,4930,4475,3480,2815,2030,1705,1215,1005,3165,3415,1480,2.9,4760,8270,4300,57860,2030,155,54530,80,6360,15,59020,1930,25,15,1940,58665,455,6190,2925,2735,1900,185,59745,1245,3030,4715,41050,1395,170,10,455,4510,1585,1505,485,7165,2100,385,3360,21590,11865,1025,55,485,25
2001,1996,13004,Fredericton ,4400,4825,4680,2855,2150,6700,6025,5825,6635,5885,5290,5060,3715,3010,2125,1860,1220,1025,3650,3930,1490,2.9,7240,10710,5370,65825,6160,380,57725,335,17000,170,68750,6150,185,140,6245,66285,2145,13430,6150,5620,3005,530,73480,1750,4765,5745,50785,1805,280,90,520,8010,3480,2175,1255,13110,1930,140,2560,35010,15255,1580,385,1585,280
2001,1996,13005,Fundy - Royal ,4250,5110,5645,3445,2010,3845,3760,4610,6025,6245,5965,5545,4105,3180,2220,1755,1170,965,3540,4405,2135,3.0,4885,9140,4860,68180,2475,220,61800,40,10165,10,69580,2370,50,0,2395,69205,310,7460,3895,3695,2765,195,71205,800,3005,4815,49200,285,130,20,560,5840,1950,2145,770,8795,2540,85,3510,26980,14105,1125,70,690,85
2001,1996,13006,Madawaska - Restigouche ,3065,3860,4575,3065,2000,3925,3650,4280,5845,6505,5950,5475,4035,3260,2565,2155,1255,1045,3395,3245,980,2.8,6500,9760,5325,13780,53030,895,8585,21390,38145,10,14320,53540,270,0,53670,12040,44770,6555,2660,2520,1890,140,67455,665,1655,2200,52790,900,500,10,820,4240,1070,2440,480,8380,1590,375,2405,23605,11655,885,40,800,90
2001,1996,13007,Miramichi ,2945,3345,3820,2510,1640,3385,3615,3880,4550,4790,4695,4405,3185,2795,2015,1635,1180,935,3005,3035,1090,2.9,4400,7400,4335,35880,19450,465,33295,3960,19700,40,37315,19535,115,30,19595,35930,14255,4835,1920,1860,1295,65,56755,240,895,1450,44570,2145,1050,10,750,3220,890,1215,345,7135,1130,65,2345,18085,8835,900,70,435,40
2001,1996,13008,Moncton - Riverview - Dieppe ,4625,5235,5415,3525,2555,7515,7160,6625,7740,7510,7085,6540,4925,3650,3060,2885,2010,1635,4120,4490,1570,2.8,9315,14160,6545,57390,31930,1055,44005,2375,45150,55,59040,32180,330,45,32345,57480,16450,16010,6610,6400,4110,205,90560,1025,3020,4535,68700,370,235,0,630,11960,3075,3300,1440,13855,2445,75,2900,42375,18650,1610,455,1655,245
2001,1996,13009,Saint John ,3600,4150,4265,2655,1730,5000,5005,4595,5535,5620,5125,4770,3665,2960,2665,2395,1805,1540,3100,2715,1055,2.8,9115,10130,4970,63265,3520,220,59430,90,9040,60,65105,3305,165,50,3385,64635,610,11780,2835,2430,1335,405,67575,1045,2650,4360,49625,490,135,0,865,6705,1860,1990,700,10780,1245,85,2435,26780,10880,1015,840,1195,110
2001,1996,13010,Tobique - Mactaquac ,3740,4165,4670,2935,1855,3655,3780,4130,4965,5395,5125,4655,3320,2685,2085,1815,1195,1030,2995,3350,1685,3.0,4920,8325,4285,49620,12105,255,45570,2055,15325,25,50765,12135,60,20,12165,49775,7675,6830,3325,3250,2590,75,62035,940,2200,3860,44280,1320,300,0,430,4555,1275,1315,345,7160,2370,195,3170,21980,11510,1070,35,625,45
2001,1996,24001,Abitibi - Baie-James - Nunavik ,6935,7850,7980,4630,2890,6395,6310,6470,7745,8190,7150,6065,4575,3210,2190,1650,875,610,2515,3035,2650,3.2,8605,9965,5520,2335,68920,395,11930,54160,23000,4375,13900,71845,3375,4355,15590,1165,67030,12445,4750,4695,4445,55,93190,280,900,1730,67965,13835,525,8790,1410,6180,1710,2165,840,10800,1815,45,2950,33130,14530,1245,210,2530,165
2001,1996,24002,Ahuntsic ,5155,5130,4845,2945,2380,7335,7965,8010,8160,8380,7620,6990,5785,5185,5240,4295,2730,2280,3900,3625,1775,2.8,19935,14885,6535,4070,60680,705,5370,36815,57975,3435,13295,76890,10105,3305,18355,3985,57200,14705,5350,3455,3205,1895,94270,9325,31245,10865,46330,150,85,10,1890,11015,4640,3310,2220,10630,2280,175,2720,43860,14785,460,6810,1235,415
2001,1996,24003,Anjou - Rivière-des-Prairies ,5040,6165,6055,3735,2550,6520,6105,6465,7760,8185,7665,7215,5850,4795,3765,2635,1345,930,3770,4625,2045,3.0,10205,12355,6570,5225,59855,465,2555,40075,51195,1700,15090,72990,5785,1660,17980,6315,56515,12110,4570,4110,4015,460,91570,3955,21345,12855,44105,125,55,0,1275,11770,3360,2900,1335,11070,1685,90,3150,41620,16475,580,4715,590,185
2001,1996,24004,Argenteuil - Papineau - Mirabel ,6210,7910,7735,4055,2265,5000,5735,7750,10085,9895,8440,7725,6905,5515,3990,2685,1540,1145,3415,3860,1705,2.9,10560,15820,7265,9255,95725,1015,3615,58390,45830,20,10105,97145,595,20,10400,7075,90385,12600,8115,7960,7650,160,107175,690,2950,3310,79715,405,230,30,1390,7990,2625,2405,965,11820,4570,145,4650,41020,22505,1050,355,1185,235
2001,1996,24005,Beauce ,5490,6580,7260,4890,3205,7585,6115,6325,8250,8670,8065,7075,5535,4180,3265,2605,1730,1290,3590,4860,2940,3.1,9425,12130,6535,520,98715,290,10,82575,17095,0,495,99125,55,0,525,90,97980,8630,4350,4290,4185,60,99400,285,635,735,78925,85,100,0,670,6875,1950,2385,655,10480,5150,280,3510,42710,22245,1640,70,1735,225
2001,1996,24006,Beauharnois - Salaberry ,4355,5940,6405,3755,2270,5530,4360,5295,7470,8235,7350,6900,6235,4615,3610,2960,1875,1425,3150,3450,1475,2.9,10775,13245,6105,9630,79240,1000,3740,51240,36350,75,10550,80300,510,45,10805,7245,75260,10305,5105,5025,4935,85,90585,815,2560,3225,68900,125,130,0,1000,6975,1550,2285,600,9265,4145,135,2785,35735,18525,1005,185,1265,320
2001,1996,24007,Beauport - Montmorency - Côte-de-Beaupré - Île-d'Orléans ,4750,6135,6445,3745,2545,5820,4900,6145,8625,9645,8805,8045,6630,4740,3625,2655,1745,1480,4000,4545,1495,2.9,10040,13320,7320,665,96110,245,25,74185,23410,55,650,96905,70,40,690,60,94980,9105,4400,4230,4165,170,96970,700,1370,1105,77840,130,75,0,1030,10270,3730,4100,1120,13715,2700,80,3185,43645,21340,910,1330,705,295
2001,1996,24008,Bellechasse - Etchemins - Montmagny - L'Islet ,3805,4685,5345,3520,2110,4920,4065,4600,6365,6895,6560,6245,5350,4295,3510,2920,1885,1490,3060,3365,1820,3.0,8600,10960,5480,410,79830,105,10,69705,10725,10,385,80045,15,10,390,65,79585,6645,3265,3235,3150,30,80205,240,485,750,65365,35,25,0,670,5035,1115,1985,520,6960,4470,65,2400,30310,15755,1080,40,1625,290
2001,1996,24009,Berthier - Montcalm ,6535,8925,9160,4950,2870,6140,5845,7785,11100,11545,10070,9410,9120,7410,5200,3520,1910,1270,3890,4385,2095,2.9,13265,18920,8390,2965,120665,655,710,91135,35020,480,3320,123220,325,475,3485,1570,118125,13995,8545,8400,8285,150,126700,635,2555,2950,97210,1850,245,15,1860,7915,1865,2605,885,12415,5730,120,4810,43520,24195,1445,205,1505,345
2001,1996,24010,Bourassa ,5465,5615,5275,3010,2335,6285,5825,6145,6750,6810,6080,6120,5080,4835,4440,3875,2750,2235,3175,2710,1760,2.9,14500,12630,6310,4015,57370,610,2030,47095,40400,2000,9430,74495,5645,1950,12250,3680,54870,13985,5575,4820,4665,750,85490,6040,23180,9680,42295,135,105,15,2020,7695,1645,2240,885,9785,1315,60,2720,32650,12515,485,3965,825,185
2001,1996,24011,Brome - Missisquoi ,4180,5360,5810,3490,2095,4770,4185,4925,6710,7270,7155,7035,6295,4935,3475,2725,1730,1340,2805,2630,1600,2.8,10585,13455,5305,15135,67605,1175,6245,38140,41365,30,16410,68655,690,20,16755,12250,62115,11340,6440,6280,6115,160,84865,910,3935,4510,62025,90,105,0,890,6040,1860,2010,1010,9275,4475,145,2720,33965,17255,850,120,1650,245
2001,1996,24012,Brossard - La Prairie ,5135,6515,6745,4155,2935,7085,5800,6240,7860,8575,8740,8740,7050,4970,2710,1715,1045,820,4250,5635,2380,3.0,7230,11925,6975,11380,66765,1030,7430,30975,59510,1790,18865,72605,6480,1750,22105,9005,60505,11550,6960,6175,5895,785,96000,3705,19380,8000,53925,185,85,0,1060,12850,4490,2795,1435,11715,3650,200,2685,45640,19770,660,4025,575,320
2001,1996,24013,Chambly ,6075,8140,7925,4495,2755,5960,5425,7245,9745,10025,8740,7795,6285,4275,2710,2045,1175,905,3575,4730,2065,3.0,7635,12860,7490,4390,96715,860,1165,56845,45550,35,5040,98065,460,25,5275,2990,92470,11525,7455,7290,7140,165,102735,855,3620,3405,74470,90,100,15,860,10745,4260,2865,1755,13090,4100,135,4160,46955,23570,910,1450,975,380
2001,1996,24014,Champlain ,3815,5245,5640,3450,2330,5015,3890,4600,6790,8040,7485,6655,5770,4580,3620,2790,1640,1235,2980,3195,1260,2.9,10720,12525,5915,740,81265,195,40,68135,16485,645,730,83805,120,645,795,90,80390,8605,3885,3825,3765,60,85160,140,650,1255,68645,3000,425,0,1325,5860,1675,2355,645,8915,2595,70,2585,30905,16255,755,140,1205,265
2001,1996,24015,Charlesbourg - Jacques-Cartier ,5390,6630,6300,3865,2770,6905,6260,7485,9260,9660,8935,8615,7480,5260,3465,2390,1245,735,4115,4490,1515,2.9,11175,15305,8140,1430,103165,385,195,75030,30950,130,1510,104415,260,115,1640,575,101200,12715,6590,6445,6170,145,105380,925,2060,1530,84375,260,155,10,1300,11890,4585,3660,1545,14935,2720,120,4175,47470,22935,940,1820,940,300
2001,1996,24016,Charlevoix ,3510,4500,4895,3185,2110,4525,3960,4465,6285,7095,6530,5905,4770,3700,2670,1825,1075,820,2975,3090,1145,2.9,7000,9830,5600,385,70950,140,25,62780,10960,205,395,73215,170,195,475,95,70420,7210,2680,2630,2610,45,73770,205,475,600,59880,2840,305,10,1185,4325,1740,2175,570,8815,1900,45,1845,26625,13350,790,85,1090,230
2001,1996,24017,Châteauguay ,6695,9270,8870,4795,2910,6675,6075,7970,10900,11100,8795,7635,6255,4695,3120,2070,1165,740,4365,5545,2370,3.0,7305,13185,8370,14065,93875,875,5825,52850,54100,135,15915,95820,1065,115,16450,11935,87935,10935,6365,6285,6210,80,112075,840,5030,5895,77125,505,170,10,865,12580,2860,3030,1020,13365,3020,120,3510,50770,26035,1120,1010,740,380
2001,1996,24018,Chicoutimi - Le Fjord ,3590,4900,5360,3570,2510,5795,4390,4490,6715,7820,7155,6125,4910,3800,3065,2290,1290,885,3515,3660,1425,2.9,8995,10830,6005,615,79700,265,80,65265,15620,35,650,80175,135,30,720,185,78895,8990,3170,3055,2785,115,80725,265,705,670,65790,305,175,10,1745,6045,2405,2250,680,10385,1425,60,2090,31340,16180,755,365,1330,225
2001,1996,24019,Compton - Stanstead ,5155,6120,6235,3590,2190,4805,4555,5765,7090,7170,6530,6105,5045,3570,2265,1760,1110,895,2750,3100,1875,3.0,7525,11215,5345,9755,69705,630,3910,44960,32600,185,10210,70965,300,190,10360,7340,65825,10050,5780,5405,5230,375,80540,1115,3110,2975,58005,170,50,20,780,5955,1945,2070,850,8525,3955,285,2960,33900,17495,990,345,1170,180
2001,1996,24020,Drummond ,4810,5560,5775,3490,2480,6570,5420,5465,6950,7365,7245,6515,5305,3850,2900,2465,1530,1220,2910,3210,1575,2.9,10600,12320,5940,1145,84230,295,180,65655,20480,75,1195,85030,95,65,1245,420,82950,12005,5375,5285,5210,90,85915,470,1485,1760,66960,135,130,0,1035,6575,1625,2030,770,9290,3270,80,2340,36300,18460,980,185,1345,350
2001,1996,24021,Frontenac - Mégantic ,2925,3770,4285,2865,1915,4375,3220,3465,4835,5660,5850,5460,4570,3730,3175,2425,1495,1025,2595,2830,1295,2.9,8050,10275,4380,905,65705,235,110,54560,12400,0,930,66105,40,0,945,245,64665,6065,2845,2830,2760,10,66700,375,900,815,54400,105,50,10,585,3995,1135,2100,405,6320,3610,105,1905,26185,13220,1030,80,1200,205
2001,1996,24022,Bonaventure - Gaspé - Îles-de-la-Madeleine - Pabok ,2785,3910,4375,2690,1735,3210,3105,3995,5610,6465,6315,5685,4635,3740,2755,2165,1350,1165,3085,2365,720,2.8,6015,9470,5745,6505,60830,520,3420,48670,15915,0,6600,61210,200,0,6700,4880,59180,5540,2480,2460,2240,20,67945,60,260,435,56270,355,90,0,1440,3730,1210,1930,555,6795,1635,10,2295,20250,10110,540,75,590,50
2001,1996,24023,Gatineau ,7295,9635,9425,5430,3425,7970,7970,9110,12135,12175,10295,8745,6465,4455,2750,1780,995,635,4975,5920,2090,3.0,10275,15610,9675,7555,109900,1445,2815,43710,76780,385,8920,112905,1505,375,9665,4535,96840,18925,7680,7105,5560,575,122290,1410,5010,3230,89050,840,650,0,1505,16090,5025,3410,1710,17065,2440,90,5035,58240,26155,1955,3280,745,510
2001,1996,24024,Hochelaga - Maisonneuve ,4160,4230,4050,2475,2300,8625,7525,6830,7665,7850,7385,6525,5520,4455,4595,3770,2285,1830,2570,1915,865,2.7,21940,15425,5960,3155,76140,700,1835,47120,44965,865,6295,83935,3740,820,8160,2340,73320,17955,5170,4190,3925,980,90460,4330,13305,5455,63630,220,145,15,2130,10240,3115,2955,2280,11600,1525,75,2570,39990,12160,705,7370,1465,470
2001,1996,24025,Hull - Aylmer ,5670,6425,6525,3865,2655,7425,7395,7720,9040,9600,8520,7100,5075,3820,2955,2540,1385,950,3600,3985,1750,2.9,14695,14330,7040,16530,73215,1355,8840,22345,68715,785,19795,77585,2550,760,21065,13650,60075,18275,9360,8510,5810,850,97190,3500,9760,5035,67210,1005,795,10,1045,13375,5200,2510,2585,12760,2495,105,3255,48660,18180,1400,4165,1705,950
2001,1996,24026,Joliette ,4985,7245,7190,4080,2615,5665,4985,6085,8770,9625,8135,7185,5830,4155,2990,2330,1440,1155,3355,4230,1555,3.0,9145,12405,6915,880,93405,285,60,69215,26225,50,885,94425,190,45,980,125,91715,10610,6105,5965,5920,135,95140,405,1295,1915,72870,180,100,0,1110,8500,1975,3235,855,11670,2825,90,3295,40630,21160,815,265,1050,475
2001,1996,24027,Jonquière ,3165,3835,4265,2725,2145,4775,3545,3585,5265,6475,6115,5225,4410,3115,2455,1810,980,585,2715,2945,1185,2.9,6995,9475,4925,540,65435,245,10,54395,12155,35,550,65950,55,35,575,125,64710,6945,2285,2235,2215,50,66360,225,415,575,54360,320,140,0,1525,4805,2275,1525,520,7740,1080,20,1585,25330,13605,470,210,680,170
