event_number	ed_code	ballot_sequence_number	candidate_first_name	candidate_middle_name	candidate_last_name	candidate_gender_code	candidate_occupation_english	candidate_occupation_french	elected_indicator	incumbent_indicator	candidate_vote	candidate_vote_percentage	candidate_residence	candidate_province_english	candidate_province_french	candidate_party_english_name	candidate_party_french_name
3700	ED35-073	1	Wayne		Cook	M	Professor	Professeur	N	N	341	0.9	Toronto	Ontario	Ontario	Canadian Action	Action canadienne
3700	ED35-073	2	Bruce		Elliott	M	Teacher	Enseignant	N	N	4030	10.59	Toronto	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-073	3	Andrew		Faust	M	Corporate-President	Président d'entreprise	N	N	5100	13.4	Toronto	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-073	4	Jim		Karygiannis	M	Industrial Engineer	Ingénieur industriel	Y	Y	26986	70.89	Toronto	Ontario	Ontario	Liberal	Libéral
3700	ED35-073	5	Michael		Laxer	M	Self-employed	Travailleur indépendant	N	N	1499	3.94	Toronto	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-073	6	Sarah		Thompson	F	Literacy Worker	Alphabétiseuse	N	N	112	0.29	Toronto	Ontario	Ontario	Marxist-Leninist	Marxiste-Léniniste
3700	ED35-074	1	John		Cannis	M	Parliamentarian	Parlementaire	Y	Y	26969	67.51	Toronto	Ontario	Ontario	Liberal	Libéral
3700	ED35-074	2	Paul		Coulbeck	M	Writer-Author	Écrivain-Auteur	N	N	959	2.4	Toronto	Ontario	Ontario	Marijuana Party	Parti Marijuana
3700	ED35-074	3	Ali		Mallah	M	Social Worker	Travailleur social	N	N	3171	7.94	Toronto	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-074	4	Bill		Settatree	M	Retired	Retraité	N	N	8849	22.15	Toronto	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-075	1	Paul		Calandra	M	Executive Assistant	Adjoint de direction	N	N	7559	18.83	Toronto	Ontario	Ontario	Canadian Alliance	Alliance Canadienne
3700	ED35-075	2	Dave		Glover	M	Senior Account Manager	Chargé de comptes principal	N	N	292	0.73	Toronto	Ontario	Ontario	Canadian Action	Action canadienne
3700	ED35-075	3	Denise		Lake	F	Administrative Assistant Labour Relations	Adjointe administrative, Relations du travail	N	N	1884	4.69	Toronto	Ontario	Ontario	N.D.P.	N.P.D.
3700	ED35-075	4	W.	Paul	McCrossan	M	Actuary	Actuaire	N	N	6284	15.65	Toronto	Ontario	Ontario	Progressive Conservative	Progressiste-Conservateur
3700	ED35-075	5	John		McKay	M	Parliamentarian	Parlementaire	Y	Y	24019	59.82	Toronto	Ontario	Ontario	Liberal	Libéral
